country,region,model_family,gap,cohens_d
Pakistan,South Asia,gemma,1.6685180363918282,1.9196346303785379
Pakistan,South Asia,gpt-oss,3.1542882931829457,3.8168404998307928
Pakistan,South Asia,gpt,2.263097944394837,2.8837750214773457
Pakistan,South Asia,claude,1.656971799972534,1.3478272783287866
Japan,East/SE Asia,llama,1.2563939122583385,1.251690133719641
Japan,East/SE Asia,mistral,0.5973823574822867,0.5660763563507157
Japan,East/SE Asia,qwen,1.795853782851444,2.480777698670787
Japan,East/SE Asia,gemma,0.8421598325361934,0.9030739537917031
Japan,East/SE Asia,gpt-oss,3.244570908632036,3.3156672862528875
Japan,East/SE Asia,gpt,2.0381591439615714,3.02153069753422
Japan,East/SE Asia,claude,1.1926090523051962,1.264710902016145
China,East/SE Asia,llama,1.3178403315799532,1.3112858899780193
China,East/SE Asia,mistral,1.3016225300919841,1.6439393732197707
China,East/SE Asia,qwen,1.6485311624350767,1.8349412309987125
China,East/SE Asia,gemma,1.1554653918031192,1.1811414971508776
China,East/SE Asia,gpt-oss,2.7534719091576716,4.821422305714344
China,East/SE Asia,gpt,2.076225838985489,3.573593463353684
China,East/SE Asia,claude,1.026638761419123,0.9686560163918319
South Korea,East/SE Asia,llama,1.6805779411764843,1.7581036506567884
South Korea,East/SE Asia,mistral,1.6238711282209526,1.679033109103161
South Korea,East/SE Asia,qwen,2.0150164774664603,2.402336657771038
South Korea,East/SE Asia,gemma,2.375678859149988,2.4831806571485653
South Korea,East/SE Asia,gpt-oss,3.11924854193836,4.860770119524616
South Korea,East/SE Asia,gpt,2.8414955321954105,4.026901735211471
South Korea,East/SE Asia,claude,2.0641644173639495,1.9268181129116
Indonesia,East/SE Asia,llama,1.2897876599612645,1.3404052759297695
Indonesia,East/SE Asia,mistral,1.1928443722229773,1.2527099766939926
Indonesia,East/SE Asia,qwen,1.8852692983748736,2.3708636323723375
Indonesia,East/SE Asia,gemma,1.3606039766046272,1.3741371747275823
Indonesia,East/SE Asia,gpt-oss,3.1266111609224354,3.7355354910465928
Indonesia,East/SE Asia,gpt,2.513289359984308,3.72719203590681
Indonesia,East/SE Asia,claude,1.807659861364659,1.9525881884617209
Thailand,East/SE Asia,llama,1.563437431068531,1.438956773959092
Thailand,East/SE Asia,mistral,1.6870549262250063,2.2490029537550105
Thailand,East/SE Asia,qwen,2.1768425628814625,2.7672974225283045
Thailand,East/SE Asia,gemma,1.755607857667727,1.9366771003637029
Thailand,East/SE Asia,gpt-oss,3.414916768305554,4.770804756442024
Thailand,East/SE Asia,gpt,2.9515525109119487,3.7041886739666543
Thailand,East/SE Asia,claude,1.9063456616989845,1.861384915505809
Vietnam,East/SE Asia,llama,1.2994393884777031,1.3720921692041295
Vietnam,East/SE Asia,mistral,1.477058344810741,1.9298880485715204
Vietnam,East/SE Asia,qwen,1.7185307322219034,2.4902414760436553
Vietnam,East/SE Asia,gemma,1.6718210188271505,1.6608484579917506
Vietnam,East/SE Asia,gpt-oss,3.134585840660045,4.25830089014469
Vietnam,East/SE Asia,gpt,2.7371992315538662,4.140393717469535
Vietnam,East/SE Asia,claude,1.485931339923679,1.5802619063901227
Philippines,East/SE Asia,llama,1.4025021727898646,1.390270052146147
Philippines,East/SE Asia,mistral,0.951975612957958,1.1037626668608327
Philippines,East/SE Asia,qwen,1.8204306012714824,2.1417525336264247
Philippines,East/SE Asia,gemma,1.5545975964682421,1.4139088388642638
Philippines,East/SE Asia,gpt-oss,3.330091105917143,5.159335288301394
Philippines,East/SE Asia,gpt,2.03272129970182,2.7127548160806785
Philippines,East/SE Asia,claude,2.061367067695044,2.9416642171356644
Russia,Europe/Oceania,llama,1.5578863845231088,1.6748310755216367
Russia,Europe/Oceania,mistral,1.916418027943138,2.1399916924858946
Russia,Europe/Oceania,qwen,2.1623631201196645,2.674161519634763
Russia,Europe/Oceania,gemma,1.4688898686414307,1.3176064106426288
Russia,Europe/Oceania,gpt-oss,3.3254154264337408,4.513955653571736
Russia,Europe/Oceania,gpt,2.436209860963658,3.062024198531556
Russia,Europe/Oceania,claude,1.8213921990809991,2.368708360805007
Germany,Europe/Oceania,llama,1.3359491698732942,1.2648495206165218
Germany,Europe/Oceania,mistral,1.5910383860360362,2.0235044780090075
Germany,Europe/Oceania,qwen,1.9923403579136196,2.451319608351649
Germany,Europe/Oceania,gemma,1.19230286757784,1.2364800867126937
Germany,Europe/Oceania,gpt-oss,2.654186901074367,3.6175765443808987
Germany,Europe/Oceania,gpt,1.927448194413232,2.853807447675406
Germany,Europe/Oceania,claude,1.1520514238283153,1.5262749554229382
Greece,Europe/Oceania,llama,1.7983344848578138,1.7382215507603673
Greece,Europe/Oceania,mistral,-0.029684547018586915,-0.023591480688122023
Greece,Europe/Oceania,qwen,2.01386669706935,2.9007044464763765
Greece,Europe/Oceania,gemma,1.303502808699481,1.5079710225930636
Greece,Europe/Oceania,gpt-oss,2.4186602485944158,2.744205558665169
Greece,Europe/Oceania,gpt,1.8636152621733977,2.905333195866385
Greece,Europe/Oceania,claude,1.7293860180256901,1.859715281487362
Italy,Europe/Oceania,llama,1.247787976451564,1.1598871018684802
Italy,Europe/Oceania,mistral,1.4122601317263497,1.50994465798512
Italy,Europe/Oceania,qwen,1.9651610162825839,2.0756103022812837
Italy,Europe/Oceania,gemma,1.3720847926920627,1.3334589843767903
Italy,Europe/Oceania,gpt-oss,3.427444726790511,4.818815263387962
Italy,Europe/Oceania,gpt,2.292068633890431,2.4071148673750784
Italy,Europe/Oceania,claude,2.26713746611606,2.3146822035513708
France,Europe/Oceania,llama,1.4635349565974507,1.2789071238965342
France,Europe/Oceania,mistral,1.395578733414492,1.6285149382578485
France,Europe/Oceania,qwen,2.0660604302213397,2.5009332273974922
France,Europe/Oceania,gemma,1.8797710873256896,2.0974791275519182
France,Europe/Oceania,gpt-oss,3.404689591190727,4.833625287988034
France,Europe/Oceania,gpt,2.31336720603519,2.840414376193068
France,Europe/Oceania,claude,1.646305587288962,1.8498462138690503
Spain,Europe/Oceania,llama,1.15299709665796,1.1375893293298602
Spain,Europe/Oceania,mistral,1.024106819306911,1.1496930625913426
Spain,Europe/Oceania,qwen,2.341249560613126,3.6489140317678217
Spain,Europe/Oceania,gemma,1.2679878830758908,1.3938496274223255
Spain,Europe/Oceania,gpt-oss,2.833130946088726,3.6504834223545086
Spain,Europe/Oceania,gpt,2.3881068093065667,3.0339533411226127
Spain,Europe/Oceania,claude,1.9453888344456884,2.5213708906958177
Poland,Europe/Oceania,llama,1.5081267521416737,1.5199659498232834
Poland,Europe/Oceania,mistral,1.0543205566617269,1.0822622460135247
Poland,Europe/Oceania,qwen,1.6883481849704256,2.2677000329943025
Poland,Europe/Oceania,gemma,1.3057307813935934,1.4591579822710206
Poland,Europe/Oceania,gpt-oss,3.2402565593137442,4.927234612198047
Poland,Europe/Oceania,gpt,2.018505947661347,3.1149051588240897
Poland,Europe/Oceania,claude,1.812338251948273,1.9776371436467184
Australia,Europe/Oceania,llama,1.1035370483720146,1.0716977366528655
Australia,Europe/Oceania,mistral,1.3397495194844644,1.5162167086980753
Australia,Europe/Oceania,qwen,2.2884642511443243,3.6263265681257955
Australia,Europe/Oceania,gemma,1.374454780742235,1.3915022538052906
Australia,Europe/Oceania,gpt-oss,2.841694042122166,4.36259641034847
Australia,Europe/Oceania,gpt,2.0269880833599037,3.3159303097232162
Australia,Europe/Oceania,claude,1.7259779238390354,1.8030902016749295
