model_key,family,test_key,test_short,layer,layer_idx,d,p,sig,n_X,n_Y,n_A,n_B
ollama-qwen25-7b,qwen,B_agentic_communal,Agentic/Communal,embedding,0,-0.0219399090856313,0.5436,,25,35,18,16
ollama-qwen25-7b,qwen,C_traits,Masc/Fem Traits,embedding,0,0.5846840143203735,0.1112,,9,10,18,16
ollama-qwen25-7b,qwen,A_career_family,Career/Family,final,28,0.3664844036102295,0.1328,,25,19,18,16
ollama-qwen25-7b,qwen,B_agentic_communal,Agentic/Communal,final,28,0.7739484906196594,0.0018,**,25,35,18,16
ollama-qwen25-7b,qwen,C_traits,Masc/Fem Traits,final,28,1.0392407178878784,0.0032,**,9,10,18,16
ollama-gemma2-2b,gemma,A_career_family,Career/Family,embedding,0,-0.41535285115242004,0.9154,,25,19,18,16
ollama-gemma2-2b,gemma,B_agentic_communal,Agentic/Communal,embedding,0,-0.1662568897008896,0.7376,,25,35,18,16
ollama-gemma2-2b,gemma,C_traits,Masc/Fem Traits,embedding,0,-0.24763818085193634,0.6776,,9,10,18,16
ollama-gemma2-2b,gemma,A_career_family,Career/Family,final,26,0.1730864942073822,0.2866,,25,19,18,16
ollama-gemma2-2b,gemma,B_agentic_communal,Agentic/Communal,final,26,-0.1319890022277832,0.6946,,25,35,18,16
ollama-gemma2-2b,gemma,C_traits,Masc/Fem Traits,final,26,0.2312057763338089,0.3118,,9,10,18,16
ollama-gemma3-12b,gemma,A_career_family,Career/Family,embedding,0,0.1720079630613327,0.308,,25,19,18,16
ollama-gemma3-12b,gemma,B_agentic_communal,Agentic/Communal,embedding,0,-0.3465500771999359,0.9142,,25,35,18,16
ollama-gemma3-12b,gemma,C_traits,Masc/Fem Traits,embedding,0,0.4665892422199249,0.209,,9,10,18,16
ollama-gemma3-12b,gemma,A_career_family,Career/Family,final,48,0.7534031271934509,0.0082,**,25,19,18,16
ollama-gemma3-12b,gemma,B_agentic_communal,Agentic/Communal,final,48,0.2812245488166809,0.1504,,25,35,18,16
ollama-gemma3-12b,gemma,C_traits,Masc/Fem Traits,final,48,0.6252558827400208,0.091,,9,10,18,16
